emoji,frase,
😊,Estoy feliz,
😢,Estoy triste,
😡,Estoy enojado,
😲,Estoy sorprendido,
❤️,Te amo,
😲,¿Cuáles son LOS RETOS de las REDES ELÉCTRICAS? Descubre TODO en el canal de YouTube:,
😢,Que decepción,
😲,¡POR DIOS… ESTÁ DESTRUYENDO SU GOBIERNO!”  | Leo Díaz le envía fuerte mensaje a la gobernadora Jenniffer González tras presentar proyecto sobre La Parguera.,
❤️,Estoy enamorado,
😡,Fastidiado,
😲,YA LLEGA la Previa de la Gala de Eliminación de #GranHermano!  ¿Qué pasará con el regreso de la placa negativa?,
😲,Daniela Aránguiz no para con los gestos en televisión hacia Maite Orsini: ¡Mira lo que hizo ahora!,
❤️,Es hermoso estar vivo un día como hoy,
😊,Hola gente bonita !!!  Buen miércoles para todos,
😲,Eso debió doler...,
😲,"Una reportera del informa en directo sobre los efectos de la borrasca #Herminia en Cantabria. Lo que sucede a continuación te pondrá los pelos de punta, literalmente",
😲,"informa en directo sobre los efectos de la borrasca #Herminia en Cantabria. Lo que sucede a continuación te pondrá los pelos de punta, literalmente",
😊,"Feliz viernes, familia. Dicen que la felicidad está en vivir en el momento. Este momento es tu vida.",
😊,Es mi cumpleaños Gracias Dios por un año más de vidaGracias exactamente por todo,
😲,"¡Increíble!  El presidente electo Donald Trump lanza su propia criptomoneda meme, $TRUMP, y su valor se dispara en horas.  ¿Qué opinas de esta jugada en el mundo cripto?  #Criptomonedas #TrumpCoin #Inversión #DWAC",
😊,"Con cara de amargada, pero siempre diciendo buenos días, permiso y gracias. ",
😲,Increible hazaña,
😊,"Vamos juntos a disfrutar la noche, hay risas contagiosas que lo hacen todo posible",
😡,Asco de humanidad,
😡,"Chile Vamos una vez más ha traicionado a los chilenos, aprobando el robo de pensiones para ser votado en sala.  Fueron demasiado lejos y los ciudadanos no van a olvidarlo, perdieron el voto por traidores.",
😡,"Mis ahorros previsionales son de mi propiedad NO AUTORIZO q se le entregue un solo peso de MI AHORRO a nadie en préstamo, menos al Estado. Agradeceré algun abogado q me oriente de las acciones legales a seguir para impedir q se vulnere MI DERECHO DE PROPIEDAD. RT",
😡,"Fenerianos de todo el país denunciamos que: #GolpeanAEstudiantesEnOaxaca  Un grupo de porros agredieron, golpearon y desalojaron del predio destinado para la casa del estudiante a jóvenes oaxaqueños. Pedimos la intervención urgente del",
😢,.¡No más agresiones!,
😢,"Yo soy hija de “ inmigrantes criminales” También soy una “criminal” por haber llegado aquí ilegalmente. Si vieran cuánto me quitan de taxes en mis cheques, eso si es criminal. Es fácil juzgar a personas que solo buscan un mejor futuro y creerse superiores por tener papeles.",
😡,De no creer!,
😊,Lo que necesito para que mi fin de semana sea perfecto,
😊,Larga vida a sentir esa genuina emoción por ver moradito por aquí y por allá, es señal de que se aproximan los días más lindos del año.
😡,Políticos corruptos!! Sinvergüenzas y ladrones!!,
❤️,Nunca tan enomorada de ti,
😡,¿Hasta dónde va a llegar la delincuencia en México? • Hoy en Oaxaca fueron violentados y desalojados por un grupo de porros. • Estudiantes que esperan se construya su casa estudiantil para tener un mejor futuro.,
😢,agradece las muestras de cariño luego del fallecimiento de su madre,
😊,"Feliz domingo para todos, besos y sonrisas a repartir",
😊,"Hoy es un día para sentir paz, agradecer y expresar. Un día para amar, disfrutar, servir,compartir y preparar tus alimentos con amor. Porque cada día es un regalo, un día más, pero también único, especial… un día de Dios. Los días no se repiten, vívelo. © Elva Illanes",
😊,"Sentirse feliz es, coger la mano de quien quieres y quien te quiere  Feliz domingo amigos!",
😊,Buenos días y feliz inicio de semana!!  A veces hago lo que quiero hacer. El resto del tiempo hago lo que tengo que hacer (Gladiator),
😊,Hola gente bonita !!!  Buen inicio de semana para todos,
😢,"increíble, pero cierto, nunca me había puesto triste.,una persona que dijera que odia a Mexico. Como el hermano latinoamericano de este video. sad",
😊,Buenas Noches. Hasta mañana  “No hagas lo que los demás hacen. Haz lo que los demás quisieran hacer y no se atreven”,
😢,no entiendo por qué critican a emilia por no opinar sobre los dichos del presidente cuando ya dijo que no habla por que tiene MIEDO de que su voz no sea escuchada,
😊,"Feliz domingo, familia. A disfrutar el día como sabemos.",
❤️,Estoy muy orgulloso de ti,
😊,"Feliz cumpleaños Qué este y todos los días tú vida se ilumine de aspectos positivos, salud, prosperidad, trabajo, amor, éxito. Felicidades   eres una extraordinaria persona gran lider y muy hermosa. Que los cumplas feliz ",
😢,Bad Bunny dizque debí tirar más fotos y uno sin almacenamiento en el celular,
😢,"En Torreón, un hombre perdió la vida en un fuerte choque durante la madrugada de este martes 21 de enero.  Su vehículo se partió en dos en el bulevar Revolución.",
😢,No sabemos que sacrificio hay detrás de ese plato de comida  Apoyemos a la gente trabajadora aue saca sus cosechas,
😢,Ayudaaa… ¿cuando depositan el aguinaldo de Enero?,
😢,"Hola, vengo a contarles algo triste, mi novio me abandonó ... Lo peor es que no puedo llorar muy fuerte porque mi esposo me escucha",
❤️,El amor nos mantiene con vida,
😊,Hoy es un día lleno de luz y esperanza,
😊,El sol brilla más cuando sonríes,
😊,Nada como un café para empezar el día con energía,
😊,"¡Logré lo que me propuse, estoy muy feliz!",
😊,"Pequeños momentos, grandes alegrías",
😢,No puedo creer que haya terminado así,
😢,A veces el corazón duele más de lo que parece,
😢,Extraño a alguien que ya no está conmigo,
😢,Hoy me siento más solo que nunca,
😢,Llorar también es una forma de sanar,
😡,¡Estoy harto de que las cosas no cambien!,
😡,¡Esto es completamente injusto!,
😡,No entiendo cómo pueden actuar así,
😡,¡Basta de promesas vacías!,
😡,Estoy tan molesto que no sé ni qué decir,
😲,¡No puedo creer lo que acabo de ver!,
😲,Esto es totalmente inesperado,
😲,¡Es una noticia que me ha dejado sin palabras!,
😲,No sabía que algo así era posible,
😲,"¡Increíble, jamás lo hubiera imaginado!",
❤️,No hay nada que ame más que estar contigo,
❤️,Mi corazón late más fuerte cuando estás cerca,
❤️,Eres mi persona favorita en el mundo,
❤️,Gracias por llenar mi vida de amor,
❤️,"Amo cada detalle de ti, incluso los imperfectos",
😊,Hoy es un gran día para lograr cosas increíbles,
😊,Me siento lleno de energía y motivación,
😊,Nada supera la alegría de estar rodeado de amigos,
😊,Cada paso que doy me acerca a mis sueños,
😊,La vida es hermosa cuando decides sonreír,
😊,Estoy agradecido por todo lo que tengo,
😊,Las pequeñas victorias son las más dulces,
😊,Este momento es perfecto para empezar de nuevo,
😊,Qué lindo es disfrutar de un día sin preocupaciones,
😊,La felicidad está en las cosas simples de la vida,
😢,A veces siento que el mundo pesa demasiado,
😢,Me cuesta aceptar que las cosas no salieron bien,
😢,Hoy me faltan fuerzas para seguir adelante,
😢,Cada lágrima lleva un pedazo de mi corazón,
😢,La ausencia de quien amas se siente en el alma,
😢,Perdí algo que jamás podré recuperar,
😢,No hay palabras que describan este vacío,
😢,Mis emociones están fuera de control,
😢,Doloroso aceptar que no siempre se puede ganar,
😢,Quisiera volver el tiempo atrás para cambiarlo todo,
😲,No puedo creer lo que acaba de pasar,
😲,Esto es mucho más grande de lo que esperaba,
😲,Me quedé sin palabras con esta noticia,
😲,Jamás imaginé que algo así pudiera suceder,
😲,"¡Esto es impresionante, realmente único!",
😲,Cada día me sorprendo más con la vida,
😲,"¡Wow, esto supera todas mis expectativas!",
😲,Nadie me había contado que esto sería tan increíble,
😲,Lo que acabo de descubrir me dejó boquiabierto,
😲,¡Esto cambiará todo lo que pensaba!,
❤️,Contigo cada día es especial,
❤️,Mi corazón encuentra paz cuando estás cerca,
❤️,Eres mi lugar favorito en todo el mundo,
❤️,Agradezco cada momento que compartimos,
❤️,Mi amor por ti crece con cada sonrisa tuya,
❤️,Me haces sentir amado y valorado,
❤️,En tu mirada encuentro mi hogar,
❤️,Te amo con cada fibra de mi ser,
❤️,La vida a tu lado tiene un sabor único,
❤️,Tu amor es mi mayor fortaleza,
😊,Hoy me desperté con ganas de conquistar el mundo,
😊,No hay nada mejor que una buena risa para alegrar el día,
😊,Los colores del cielo parecen pintados solo para mí,
😊,Cada instante es una oportunidad para ser feliz,
😊,¡Por fin llegó el día que tanto esperaba!,
😊,Rodearme de personas positivas me da vida,
😊,Estoy tan emocionado por lo que viene,
😊,Una buena música siempre mejora el ánimo,
😊,La felicidad está en disfrutar cada segundo,
😊,Estoy listo para aprovechar este día al máximo,
😢,Hoy siento que todo me pesa un poco más,
😢,Hay días en los que el corazón parece no aguantar,
😢,El silencio puede ser más doloroso que las palabras,
😢,Me duele saber que no siempre podemos cambiar las cosas,
😢,"A veces, todo lo que quiero es desaparecer por un rato",
😢,No puedo dejar de pensar en lo que perdí,
😢,"Hoy, la nostalgia me acompaña en cada paso",
😢,Siento que este vacío no se llenará jamás,
😢,Cada recuerdo feliz ahora trae una lágrima,
😢,"A veces, la vida es más difícil de lo que esperaba",
😡,"Estoy al límite de mi paciencia, no puedo más",
😡,Cada error ajeno termina afectándome a mí,
😡,Me irrita que las cosas siempre salgan mal,
😡,¿Por qué la gente no puede ser más consciente?,
😡,"El sistema está roto, y nadie parece querer arreglarlo",
😡,Estoy cansado de que no valoren mi esfuerzo,
😡,Es frustrante repetir lo mismo una y otra vez,
😡,A veces siento que estoy peleando contra el mundo,
😡,"¡Esto ya no tiene sentido, estoy harto!",
😡,"Cuando todo parece ir mal, la frustración crece",
😲,¡Esto es algo que jamás pensé que vería!,
😲,Lo que acaba de ocurrir es simplemente increíble,
😲,Cada día la vida me sorprende más,
😲,No sé si estoy soñando o esto es real,
😲,¡No me esperaba para nada esta noticia!,
😲,Es asombroso lo que el destino puede traer,
😲,Nunca imaginé que algo así pudiera pasarme,
😲,"¡Esto es una locura, no lo puedo creer!",
😲,Estoy totalmente impactado por lo que acabo de descubrir,
😲,Hay cosas en la vida que siempre logran dejarme sin palabras,
❤️,Eres el mejor regalo que la vida me pudo dar,
❤️,Cada latido de mi corazón es por ti,
❤️,"Contigo, el mundo se ve mucho más bonito",
❤️,Siempre encuentro paz en tus abrazos,
❤️,Eres la razón por la que sonrío todos los días,
❤️,Amar nunca fue tan fácil como lo es contigo,
❤️,Mi vida está completa gracias a tu amor,
❤️,No hay palabras para describir cuánto te amo,
❤️,Tú haces que todo valga la pena,
❤️,El amor que siento por ti no tiene límites,
😊,La risa es el sol que ahuyenta el invierno del rostro.,
😊,Hoy es un buen día para sonreír.,
😊,"La vida es bella, disfrútala.",
😊,Cada día es una nueva oportunidad para ser feliz.,
😊,Celebra cada pequeño logro.,
😢,Las lágrimas son palabras que el corazón no puede decir.,
😢,La tristeza es un muro entre dos jardines.,
😢,"A veces, el silencio es la peor mentira.",
😢,La melancolía es la felicidad de estar triste.,
😢,"El dolor es inevitable, el sufrimiento es opcional.",
😡,La ira es un ácido que puede hacer más daño al recipiente que lo contiene que a cualquier cosa sobre la que se vierta.,
😡,El enojo es una breve locura.,
😡,La frustración es el primer paso hacia la mejora.,
😡,La ira no nos permite ver las cosas con claridad.,
😡,El enfado es una ráfaga de viento que apaga la lámpara de la mente.,
😲,La vida está llena de sorpresas inesperadas.,
😲,El asombro es la semilla de la sabiduría.,
😲,La sorpresa es el mayor regalo que la vida nos puede dar.,
😲,El mundo está lleno de cosas sorprendentes esperando a ser descubiertas.,
😲,La maravilla es el principio del conocimiento.,
❤️,El amor es la poesía de los sentidos.,
❤️,"El amor no mira con los ojos, sino con el alma.",
❤️,El amor es la única fuerza capaz de transformar un enemigo en amigo.,
❤️,El amor es la llave maestra que abre las puertas de la felicidad.,
❤️,"El amor verdadero no tiene final feliz, porque el amor verdadero nunca termina.",
😡,"La oligarquía corrupta de gringo Landia nos robó la mitad de nuestro territorio, y todavía quieren continuar saqueándo nuestros recursos naturales.",
😡,Tú piso para heredar se lo queda el Gobierno criminal ,
😡,"Lo único que quiero es que se termine este gobierno de mierda, el peor gobierno de la historia de Chile, corrupto y mentiroso ",
😡,NO TIENEN VERGÜENZA ,
😡,DESDE QUE LLEGÓ EL  AL PODER LOS CARTELES DE LADROG@ EN MÉXICO HAN RECIBIDO UN TRATO NOBLE Y PROTECCIÓN COMO EN NINGÚN SEXENIO DEL PRI Y DEL PAN Quien está de acuerdo? ,
😡,"Cuando ponemos a políticos que no tienen oficio ni beneficio. Un volcán o un terremoto no se puedan controlar, pero canalizar un cauce sí. Políticos asesinos! ",
😡,Hace solo unas semanas vimos una noticia de un niño que murió encerrado en casa porque la mamá lo abandonó y hoy vemos ordas de personas insultando a #MaribelGuardia por denunciar negligencia por parte de la madre de su nieto. Por Dios dejen de romantizar ,
😡,El nepotismo en su máximo explendor!! ,
😡,"Estas lacras y otros PLURIS nadie votó por ellos, son individuos que quieren seguir viviendo a costa de nuestros impuestos, ya estuvo bueno. #FueraPluris No sirven para nada PARÁSITOS DE LA POLÍTICA MEXICANA Quién de acuerdo que se vayan ? ... ",
😡,"BASTA DE VISA DE REUNIFICACION FAMILIAR, BASTA!!! NO QUEREMOS MAS FAMILIAS ENTERAS EN CHILE, EN QUE IDIOMA LES HABLAMOS PARA QUE NOS ENTIENDAN?",
